\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 12.05385 0.00242 
 2454035.796138 12.05388 0.00242 
 2454035.801601 12.04344 0.00228 
 2454036.792748 12.05603 0.00231 
 2454036.798212 12.04392 0.00223 
 2454036.803677 12.04314 0.00202 
 2454037.790288 12.05381 0.00234 
 2454037.795751 12.04524 0.00220 
 2454037.801215 12.04494 0.00221 
 2454038.786837 12.04662 0.00228 
 2454038.792301 12.03492 0.00224 
 2454039.786156 12.05457 0.00246 
 2454040.782391 12.05429 0.00271 
 2454048.758326 12.04647 0.00280 
 2454048.769051 12.04072 0.00257 
 2454048.774412 12.04836 0.00250 
 2454048.779774 12.04441 0.00265 
 2454050.753257 12.04961 0.00262 
 2454050.758623 12.05782 0.00251 
 2454050.763985 12.02858 0.00241 
 2454050.769353 12.05112 0.00246 
 2454052.749244 12.04295 0.00240 
 2454052.754611 12.03807 0.00218 
 2454052.759974 12.06670 0.00229 
 2454052.765340 12.03795 0.00219 
 2454052.770701 12.05453 0.00218 
 2454053.747612 12.05073 0.00242 
 2454053.758345 12.04204 0.00233 
 2454053.763714 12.05076 0.00229 
 2454053.769083 12.04737 0.00223 
 2454054.744176 12.04691 0.00241 
 2454054.754916 12.05200 0.00223 
 2454054.760287 12.04809 0.00220 
 2454054.765656 12.04569 0.00228 
 2454055.738458 12.04795 0.00238 
 2454055.749196 12.04243 0.00225 
 2454055.754566 12.05002 0.00224 
 2454055.759929 12.04150 0.00227 
 2454055.765298 12.04065 0.00223 
 2454056.739140 12.03922 0.00257 
 2454056.744508 12.04186 0.00223 
 2454056.749872 12.05102 0.00233 
 2454056.755241 12.04298 0.00235 
 2454056.760609 12.04362 0.00229 
 2454057.734189 12.04824 0.00244 
 2454057.744929 12.04222 0.00235 
 2454057.750291 12.05394 0.00234 
 2454057.755659 12.04785 0.00235 
 2454057.761029 12.04797 0.00240 
 2454058.733748 12.05270 0.00237 
 2454058.744484 12.04303 0.00238 
 2454058.749848 12.03478 0.00229 
 2454058.755216 12.04905 0.00235 
 2454059.730258 12.05201 0.00241 
 2454059.735624 12.04239 0.00224 
 2454059.740993 12.05229 0.00231 
 2454059.746355 12.04123 0.00230 
 2454059.751725 12.04899 0.00236 
