\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009468_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:05 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 13.46161 0.00594 
 2454035.801601 13.48227 0.00547 
 2454036.792748 13.46429 0.00577 
 2454036.798212 13.47867 0.00540 
 2454036.803677 13.46684 0.00500 
 2454037.790288 13.48414 0.00561 
 2454037.795751 13.48182 0.00522 
 2454037.801215 13.46273 0.00520 
 2454038.786837 13.46894 0.00549 
 2454038.792301 13.47677 0.00527 
 2454038.797767 13.45885 0.00557 
 2454039.786156 13.45824 0.00633 
 2454040.782391 13.48771 0.00721 
 2454048.758326 13.47788 0.00741 
 2454048.769051 13.48384 0.00663 
 2454048.774412 13.47086 0.00651 
 2454048.779774 13.46600 0.00688 
 2454050.753257 13.47545 0.00665 
 2454050.758623 13.47630 0.00630 
 2454050.763985 13.47231 0.00598 
 2454050.769353 13.48933 0.00610 
 2454052.749244 13.48494 0.00612 
 2454052.754611 13.48287 0.00545 
 2454052.759974 13.46256 0.00572 
 2454052.765340 13.48547 0.00539 
 2454052.770701 13.45073 0.00546 
 2454053.747612 13.46622 0.00585 
 2454053.758345 13.47659 0.00550 
 2454053.763714 13.46631 0.00544 
 2454053.769083 13.47659 0.00531 
 2454054.744176 13.46652 0.00578 
 2454054.754916 13.47701 0.00522 
 2454054.760287 13.47394 0.00515 
 2454054.765656 13.47681 0.00533 
 2454055.738458 13.45585 0.00574 
 2454055.749196 13.47127 0.00528 
 2454055.754566 13.46861 0.00527 
 2454055.759929 13.46880 0.00534 
 2454055.765298 13.46744 0.00526 
 2454056.739140 13.47722 0.00627 
 2454056.744508 13.48675 0.00530 
 2454056.749872 13.48441 0.00557 
 2454056.755241 13.46000 0.00563 
 2454056.760609 13.48859 0.00543 
 2454057.734189 13.47433 0.00603 
 2454057.744929 13.47362 0.00573 
 2454057.750291 13.47039 0.00566 
 2454057.755659 13.46378 0.00568 
 2454057.761029 13.47396 0.00583 
 2454058.733748 13.45036 0.00578 
 2454058.744484 13.47221 0.00576 
 2454058.749848 13.46856 0.00542 
 2454058.755216 13.48137 0.00566 
 2454059.730258 13.46373 0.00584 
 2454059.735624 13.45435 0.00534 
 2454059.740993 13.47560 0.00551 
 2454059.746355 13.46267 0.00548 
 2454059.751725 13.47572 0.00564 
