\catalog = 'UKIRT'
\phot = 'CASU'
\year = 2016
\bulge = 's'
\field = 11
\ccd = 1
\lcid = 'ukirt_c_2016_s_11_1_0019296'
\filter = 'H'
\ UKIRT Microlensing Surveys
\ Shvartzvald et al 2017, AJ 153, 61
\ CASU photometry pipeline: 0.7'' aperture
\ 2mass H band calibrated magnitude
\ Irwin et al 2004, SPIE 5493, 411
\ Hodgkin et al 2009, MNRAS 394, 675
\ ..................................
\ hjd = HJD-2450000
\ ..................................
|   hjd    | mag  | emag |
|   real   | real | real |
|    d     | mag  | mag  |
|          | null | null |
 7487.06988 16.333  0.082
 7487.11495 16.248  0.074
 7488.04462 16.317  0.082
 7488.09038 16.266  0.076
 7489.04510 16.309  0.079
 7489.10259 16.198  0.073
 7490.05190 16.235  0.074
 7490.10377 16.327  0.082
 7491.05685 16.538  0.147
 7491.10734 16.292  0.076
 7492.05271 16.441  0.141
 7492.10341 16.478  0.115
 7493.04391 16.365  0.105
 7493.09400 16.424  0.099
 7494.03789 16.191  0.078
 7494.08453 16.238  0.076
 7495.04279 16.269  0.081
 7495.09225 16.134  0.076
 7496.03225   null   null
 7496.09040 16.625  0.145
 7497.04919 16.362  0.108
 7497.09512 16.692  0.143
 7498.01350 16.317  0.094
 7498.05915 16.318  0.092
 7499.04435 16.362  0.099
 7499.08873 16.308  0.104
 7500.02532 16.236  0.082
 7500.07202 16.273  0.082
 7501.00590 16.407  0.102
 7501.05264 16.262  0.084
 7502.01901 16.349  0.086
 7502.06336 16.413  0.097
 7503.01180 16.345  0.102
 7503.05801 16.292  0.088
 7507.01340 16.220  0.083
 7507.06425 16.262  0.086
 7508.02649 16.309  0.082
 7508.07036 16.343  0.098
 7509.01677 16.255  0.077
 7509.06933 16.188  0.073
 7509.98799 16.377  0.107
 7510.09449 16.307  0.087
 7510.99913 16.393  0.104
 7511.04752 16.380  0.105
 7512.00318 16.223  0.083
 7512.05516 16.284  0.085
 7512.98435 16.322  0.097
 7513.03192 16.189  0.078
 7514.05536 16.246  0.074
 7514.97722 16.262  0.081
 7515.02352 16.289  0.078
 7515.97345 16.343  0.089
 7516.01958 16.318  0.093
 7516.98615 16.299  0.095
 7517.02928 16.353  0.094
 7518.99920 16.313  0.133
 7519.04785 16.511  0.133
 7520.00422 16.354  0.108
 7520.04975 16.251  0.088
 7521.00544 16.218  0.080
 7521.04886 16.298  0.085
 7523.02145 16.318  0.092
 7523.08499 16.311  0.093
 7523.98951 16.307  0.095
 7524.05395 16.304  0.085
 7524.98088 16.389  0.107
 7525.02608 16.616  0.139
 7525.97329 16.355  0.096
 7526.01817 16.281  0.092
 7526.97789 16.194  0.078
 7527.02906 16.272  0.113
 7527.95341 16.361  0.095
 7527.99707 16.379  0.105
 7528.95512 16.270  0.091
 7529.00357 16.291  0.085
 7529.94448 16.312  0.095
 7530.00102 16.269  0.088
 7530.98097 16.275  0.092
 7531.02832 16.394  0.098
 7531.96164 16.294  0.083
 7532.01243 16.307  0.085
 7535.01054 16.328  0.090
 7535.06379 16.266  0.086
 7535.95610 16.298  0.084
 7536.03505 16.207  0.075
 7537.95213 16.369  0.103
 7537.99682 16.431  0.105
 7538.97109 16.272  0.082
 7539.01476 16.281  0.078
 7539.92137 16.343  0.089
 7539.96979 16.362  0.121
 7540.94595 16.277  0.088
 7540.99538 16.291  0.085
 7541.92300 16.278  0.078
 7541.96951 16.295  0.081
 7542.02077 16.224  0.084
 7542.89753 16.358  0.106
 7542.94514 16.456  0.100
 7542.99618 16.286  0.088
 7543.93024 16.358  0.102
 7543.97976 16.404  0.107
 7544.02670 16.409  0.121
 7544.89743 16.249  0.077
 7544.94783 16.253  0.075
 7544.99229 16.213  0.096
 7545.91241 16.345  0.133
 7545.96099 16.320  0.095
 7546.00555 16.225  0.080
 7546.88315 16.266  0.086
 7546.93049 16.277  0.090
 7546.97445 16.146  0.075
 7547.92367 16.264  0.077
 7547.96733 16.266  0.079
 7548.01441 16.275  0.076
 7548.92854 16.309  0.079
 7548.97334 16.277  0.081
 7549.03233 16.247  0.089
 7549.91761 16.206  0.076
 7549.97206 16.304  0.085
 7550.01744 16.133  0.074
 7550.90879 16.303  0.090
 7550.95304 16.300  0.083
 7551.00329 16.288  0.079
 7554.91909 16.261  0.103
 7554.96542 16.264  0.077
 7555.01010 16.394  0.095
 7555.88051 16.285  0.081
 7555.92447 16.279  0.073
 7555.97284 16.151  0.077
 7558.89322 16.269  0.080
 7558.93890 16.225  0.077
 7558.98359 16.186  0.077
 7561.88825 16.241  0.078
 7561.93324 16.286  0.072
 7561.98245 16.279  0.087
 7562.84046 16.386  0.097
 7562.88893 16.320  0.094
 7562.93556 16.278  0.078
 7563.87604 16.247  0.084
 7563.92058 16.375  0.085
 7563.96431 16.344  0.090
 7564.87199 16.210  0.071
 7564.91742 16.235  0.076
 7564.96746 16.257  0.080
 7565.98442 16.219  0.082
 7567.91503 16.443  0.113
 7568.87641 16.382  0.110
 7573.81477 16.269  0.078
 7573.86632 16.242  0.075
 7573.91384 16.238  0.075
 7574.82639 16.429  0.106
 7574.87424 16.270  0.087
 7574.92093 16.411  0.092
 7575.80421 16.225  0.074
 7575.85813 16.183  0.064
 7575.90717 16.208  0.069
 7576.82917 16.257  0.081
 7576.87581 16.294  0.086
 7576.92400 16.255  0.081
 7577.80493 16.326  0.099
 7577.85231 16.294  0.082
 7577.89861 16.485  0.102
