\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 13.40070 0.00528 
 2454034.701953 13.42030 0.00493 
 2454034.706575 13.42431 0.00577 
 2454034.711195 13.42518 0.00526 
 2454034.715816 13.41713 0.00499 
 2454034.721280 13.41706 0.00545 
 2454034.726743 13.43480 0.00503 
 2454034.728931 13.41561 0.00493 
 2454034.733552 13.43189 0.00487 
 2454034.738171 13.40392 0.00497 
 2454034.742791 13.42793 0.00484 
 2454034.747412 13.41173 0.00508 
 2454034.752032 13.40950 0.00502 
 2454034.756652 13.45038 0.00644 
 2454034.761271 13.40825 0.00480 
 2454034.765892 13.42554 0.00485 
 2454034.770512 13.42731 0.00471 
 2454034.775132 13.41798 0.00477 
 2454034.788988 13.42384 0.00505 
 2454034.793608 13.42788 0.00483 
 2454035.691028 13.41026 0.00518 
 2454035.695648 13.41292 0.00531 
 2454035.700270 13.41890 0.00537 
 2454035.704890 13.42021 0.00544 
 2454035.709512 13.42128 0.00552 
 2454035.714132 13.42005 0.00540 
 2454035.719593 13.41915 0.00517 
 2454035.721781 13.43298 0.00515 
 2454035.726402 13.41476 0.00521 
 2454035.731024 13.42171 0.00521 
 2454035.735647 13.42704 0.00504 
 2454035.740269 13.42467 0.00513 
 2454035.744889 13.43248 0.00495 
 2454035.749509 13.41850 0.00503 
 2454035.754130 13.41697 0.00490 
 2454035.758752 13.42082 0.00504 
 2454035.763372 13.41984 0.00502 
 2454035.767992 13.41488 0.00484 
 2454035.772612 13.41257 0.00483 
 2454035.777233 13.42949 0.00491 
 2454035.781854 13.40386 0.00480 
 2454035.786476 13.42179 0.00497 
 2454035.791096 13.40336 0.00482 
 2454036.691428 13.41193 0.00487 
 2454036.696047 13.43162 0.00527 
 2454036.700668 13.42745 0.00525 
 2454036.705288 13.41962 0.00515 
 2454036.709908 13.41170 0.00532 
 2454036.715372 13.42865 0.00522 
 2454036.720834 13.43444 0.00512 
 2454036.723022 13.43403 0.00552 
 2454036.727641 13.42404 0.00442 
 2454036.732260 13.42975 0.00527 
 2454036.736880 13.42617 0.00502 
 2454036.741499 13.41626 0.00506 
 2454036.746121 13.42943 0.00524 
 2454036.750741 13.41803 0.00487 
 2454036.755361 13.41854 0.00571 
 2454036.759981 13.42811 0.00507 
 2454036.764603 13.41451 0.00517 
 2454036.769224 13.41277 0.00519 
 2454036.773844 13.41725 0.00483 
 2454036.778464 13.39696 0.00533 
 2454036.783085 13.42708 0.00505 
 2454036.787706 13.42905 0.00491 
 2454037.685167 13.41014 0.00498 
 2454037.689788 13.42358 0.00533 
 2454037.694408 13.42365 0.00422 
 2454037.699029 13.42531 0.00427 
 2454037.703650 13.41069 0.00438 
 2454037.708272 13.40450 0.00489 
 2454037.713737 13.42586 0.00481 
 2454037.715925 13.41999 0.00471 
 2454037.720546 13.42223 0.00486 
 2454037.725167 13.43678 0.00477 
 2454037.729789 13.41994 0.00467 
 2454037.734411 13.42947 0.00464 
 2454037.739033 13.41902 0.00460 
 2454037.743653 13.42003 0.00472 
 2454037.748274 13.42464 0.00457 
 2454037.752895 13.42185 0.00461 
 2454037.757517 13.42159 0.00463 
 2454037.762139 13.42962 0.00462 
 2454037.766760 13.42358 0.00469 
 2454037.771381 13.42292 0.00457 
 2454037.776002 13.42965 0.00464 
 2454037.780624 13.42282 0.00459 
 2454037.785245 13.42435 0.00457 
 2454038.735588 13.41512 0.00485 
 2454038.740209 13.42966 0.00475 
 2454038.758691 13.42085 0.00455 
 2454038.767932 13.43656 0.00390 
 2454038.772554 13.42570 0.00464 
 2454038.777175 13.42050 0.00388 
 2454038.781796 13.43044 0.00450 
 2454039.676434 13.42896 0.00635 
 2454039.681054 13.42159 0.00644 
 2454039.685675 13.41902 0.00632 
 2454039.690296 13.41783 0.00621 
