\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_020425_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 601      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:57:48 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 11.87406 0.00211 
 2454035.801601 11.86321 0.00199 
 2454036.792748 11.87461 0.00201 
 2454036.798212 11.85921 0.00196 
 2454036.803677 11.88802 0.00177 
 2454037.790288 11.87158 0.00205 
 2454037.795751 11.86312 0.00193 
 2454037.801215 11.86225 0.00194 
 2454038.786837 11.86648 0.00201 
 2454038.792301 11.85894 0.00196 
 2454038.797767 11.91752 0.00206 
 2454039.786156 11.86591 0.00215 
 2454040.782391 11.87724 0.00235 
 2454048.758326 11.85797 0.00244 
 2454048.769051 11.87125 0.00224 
 2454048.774412 11.86335 0.00219 
 2454048.779774 11.86425 0.00231 
 2454050.753257 11.87899 0.00228 
 2454050.758623 11.86060 0.00221 
 2454050.763985 11.86890 0.00211 
 2454050.769353 11.86303 0.00217 
 2454052.749244 11.89373 0.00208 
 2454052.754611 11.87246 0.00192 
 2454052.759974 11.88739 0.00205 
 2454052.765340 11.88196 0.00192 
 2454052.770701 11.87365 0.00194 
 2454053.747612 11.85469 0.00214 
 2454053.758345 11.85129 0.00207 
 2454053.763714 11.85024 0.00204 
 2454053.769083 11.86830 0.00196 
 2454054.744176 11.85558 0.00211 
 2454054.754916 11.86435 0.00196 
 2454054.760287 11.85448 0.00194 
 2454054.765656 11.85636 0.00202 
 2454055.738458 11.86320 0.00210 
 2454055.749196 11.86379 0.00198 
 2454055.754566 11.85180 0.00199 
 2454055.759929 11.85067 0.00204 
 2454055.765298 11.86220 0.00196 
 2454056.739140 11.86052 0.00225 
 2454056.744508 11.86004 0.00198 
 2454056.749872 11.85290 0.00207 
 2454056.755241 11.84637 0.00210 
 2454056.760609 11.85278 0.00204 
 2454057.734189 11.85634 0.00214 
 2454057.744929 11.86226 0.00208 
 2454057.750291 11.84310 0.00206 
 2454057.755659 11.85857 0.00208 
 2454057.761029 11.84458 0.00213 
 2454058.733748 11.86659 0.00210 
 2454058.744484 11.85552 0.00210 
 2454058.749848 11.85931 0.00201 
 2454058.755216 11.86174 0.00207 
 2454059.730258 11.84854 0.00212 
 2454059.735624 11.85542 0.00199 
 2454059.740993 11.85987 0.00203 
 2454059.746355 11.85604 0.00206 
 2454059.751725 11.85373 0.00209 
